original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Elmendorf (Dwight L.)-A Camera crusade through the Holy Land. 4to. 98 x7, pp. 70 and plates, ios. 6d. net....MURRAY, Jan. 13",97,105,,Elmendorf (Dwight L.),A Camera crusade through the Holy Land.,4to.,"98 x7, pp. 70 and plates, ios. 6d. net....",MURRAY,Jan. 13
"Elmshurst (Richard)—The Naturalist at the sea- shore. Illus. Cr. 8vo., pp. 94, Is. 6d. net. (Peeps at nature) BLACK, Oct. 13",97,105,,Elmshurst (Richard),The Naturalist at the sea- shore. Illus.,Cr. 8vo.,"pp. 94, Is. 6d. net. (Peeps at nature)",BLACK,Oct. 13
"Elrington (H.)— The Kinsmen of Brithric's Ham. Cr. 8vo., pp. 134, IS..... ...NELSON, Sep. 13",97,105,,Elrington (H.),The Kinsmen of Brithric's Ham.,Cr. 8vo.,"pp. 134, IS.....",NELSON,Sep. 13
"Elsdale (May) ed.-Remembrance : our fellow- ship with the departed. 18mo. 51 X31, pp. 190, 25. 60. net .. MOWBRAY, Nov. 13",97,105,,Elsdale (May) ed.,Remembrance : our fellow- ship with the departed.,18mo.,"51 X31, pp. 190, 25. 60. net ..",MOWBRAY,Nov. 13
"Elson (Charles)--Wieland and Shaftesbury. 8vo., pp. 156, 45. 6d. net ..MILFORD, Oct, 13",97,105,,Elson (Charles),Wieland and Shaftesbury.,8vo.,"pp. 156, 45. 6d. net ..",MILFORD,"Oct, 13"
"Elwell (J. B.)-Auction bridge to date. 64X47, pp. 224, 6s. net ..NEWNES, May 13",97,105,,Elwell (J. B.),Auction bridge to date.,,"64X47, pp. 224, 6s. net ..",NEWNES,May 13
"Elwin (Edward F.)—India and the Indians. Illus. 8vo. 9 X54, pp. 364, ios. 6d. net MURRAY, Apr. 13",97,105,,Elwin (Edward F.),India and the Indians. Illus.,8vo.,"9 X54, pp. 364, ios. 6d. net",MURRAY,Apr. 13
"Elwin (Father)—Thirty-nine years in Bombay City: being the history of the mission work of the Society of St. John the Evangelist in that City. Illus. Cr. 8vo. 7! X41, pp. 138, 25. net MOWBRAY, Apr. 13",97,105,,Elwin (Father),Thirty-nine years in Bombay City: being the history of the mission work of the Society of St. John the Evangelist in that City. Illus.,Cr. 8vo.,"7! X41, pp. 138, 25. net",MOWBRAY,Apr. 13
"Ely Diocesan calendar and clergy list for 1913. Cr. 8vo., Swd. is. net...... SIMPKIN, Jan. 13",97,105,,,Ely Diocesan calendar and clergy list for 1913.,Cr. 8vo.,Swd. is. net......,SIMPKIN,Jan. 13
"Emanuel (Walter)—Bubble and squeak : a little book of fun. Cr. 8vo., pp. 224, swd., is. net HUTCHINSON, June 13",97,105,,Emanuel (Walter),Bubble and squeak : a little book of fun.,Cr. 8vo.,"pp. 224, swd., is. net",HUTCHINSON,June 13
"Emanuel (Walter)—The Dogs of War. Pop. edit. 12mo., pp. 222, Is. net......EVERETT, May 13",97,105,,Emanuel (Walter),The Dogs of War. Pop. edit.,12mo.,"pp. 222, Is. net......",EVERETT,May 13
"Emerson (Ralph Waldo) -An Emerson treasury, 12mo. illum. bds, is, net. (Queen's lib.) SIEGLE, H., July 13",97,105,,Emerson (Ralph Waldo),"An Emerson treasury,",12mo.,"illum. bds, is, net. (Queen's lib.)","SIEGLE, H.",July 13
"Emerson (Ralph Waldo)-Essays. Edit. by G. K. Chesterton. Reissue. Cr. 8vo. 71 X4), pp. 410 35. 6d. (Bohn's standard library) ..BELL, Oct. 13",97,105,,Emerson (Ralph Waldo),Essays. Edit. by G. K. Chesterton. Reissue.,Cr. 8vo.,"71 X4), pp. 410 35. 6d. (Bohn's standard library)",BELL,Oct. 13
"Emerson (Ralph Waldo)-Works. Vols. 12m0., pp. 550, 472, ca. is. net (Bohn's popular lib.).. BELL, Oct. 13",98,106,,Emerson (Ralph Waldo),Works. Vols.,12m0.,"pp. 550, 472, ca. is. net (Bohn's popular lib.)..",BELL,Oct. 13
"Emerson (Ralph Waldo)—Works. Vols. 1 and 2. 12mo., pp. 522, 424, ea. is. net (Bohn's popular library). .BELL, Apr. 13",97,105,,Emerson (Ralph Waldo),Works. Vols. 1 and 2.,12mo.,"pp. 522, 424, ea. is. net (Bohn's popular library). .",BELL,Apr. 13
"Emery (H. C.)-Receivers and liquidators : A practical manual of the law and practice relating to appointment, powers, and duties of receivers, &c. 8vo. 83 X5$, pp. 214, 75. 60. net.... .....E. WILSON, Aug. 13",98,106,,Emery (H. C.),"Receivers and liquidators : A practical manual of the law and practice relating to appointment, powers, and duties of receivers, &c.",8vo.,"83 X5$, pp. 214, 75. 60. net....",E. WILSON,Aug. 13
"Emery (Henry Crosby)— Politician, party and people : addresses. Cr. 8vo., pp. 190, 58. 6d. net MILFORD, Nov. 13",98,106,,Emery (Henry Crosby),"Politician, party and people : addresses.",Cr. 8vo.,"pp. 190, 58. 6d. net",MILFORD,Nov. 13
"Emigrant's Information Office-Handbooks: Queensland, id. ; Canada, id. ; Tasmania, id. WYMAN, Apr., May 13",98,106,,,"Emigrant's Information Office-Handbooks: Queensland, id. ; Canada, id. ; Tasmania, id.",,,WYMAN,"Apr., May 13"
"Emigrants' Information Office--Report for 1912, 3}d. (post free) .WYMAN, Mar. 13",98,106,,,"Emigrants' Information Office--Report for 1912,",,3}d. (post free) .,WYMAN,Mar. 13
"Emigrants' Information Office-Handbooks : Canada, Australia, New Zealand, and S. Africa. (Bound vol.) 25. WYMAN, Jan. 13",98,106,,,"Emigrants' Information Office-Handbooks : Canada, Australia, New Zealand, and S. Africa.",,(Bound vol.) 25.,WYMAN,Jan. 13
"Emigrants' Information Office-Handbooks : Nyasaland Protectorate, 6d.; Union of S. Africa, id. ; West African Colonies, 6d. WYMAN, Aug.-Nov. 13",98,106,,,"Emigrants' Information Office-Handbooks : Nyasaland Protectorate, 6d.; Union of S. Africa, id. ; West African Colonies, 6d.",,,WYMAN,Aug.-Nov. 13
