original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,catalogue_year,flagged
"""Land and Water"" Map of the War. Drawn under the direction Hilaire Belloc. Mounted on linen 28. 6d. net OFFICE, Feb. 15",153,161,,,"""Land and Water"" Map of the War. Drawn under the direction Hilaire Belloc.",,Mounted on linen 28. 6d. net,OFFICE,Feb. 15,1915,False
"""Lusitania "" (S.S.)---Report of a formal investiga- tion into the foundering of. Ild. WYMAN, Aug. 15",167,175,,,"""Lusitania "" (S.S.)---Report of a formal investiga- tion into the foundering of.",,Ild.,WYMAN,Aug. 15,1915,False
"""Lusitania (S.S.)- Proceedings on a formal investigation into the loss of. 5th day. Is. WYMAN, July 15",167,175,,,Lusitania (S.S.)- Proceedings on a formal investigation into the loss of. 5th day.,,Is.,WYMAN,July 15,1915,False
"“Nursing Mirror"" Pocket encyclopædia and diary, 1916. 18mo. 51x38, pp. 256, limp 6d. net ..SCIENTIFIC PR., Dec. 15",198,206,,,"""Nursing Mirror"" Pocket encyclopædia and diary, 1916.",18mo.,"51x38, pp. 256, limp 6d. net ..",SCIENTIFIC PR.,Dec. 15,1915,False
"“Out there!”; or, The Platoon commander in warfare. Cr. 8vo., swd., gd. net SIFTON, P., A pr. 15",202,210,,,"“Out there!”; or, The Platoon commander in warfare.",Cr. 8vo.,"swd., gd. net","SIFTON, P.",A pr. 15,1915,False
"""Strand"" Coloured detail map ofthe Dardanelles, Constantinople, &c. 6d. net ..NEWNES, Sep. 15",259,267,,,"""Strand"" Coloured detail map ofthe Dardanelles, Constantinople, &c.",,6d. net ..,NEWNES,Sep. 15,1915,False
"“Studio."" See also Holme (C.). Studies in Southern history and politics. Inscribed to William Archibald Dunning by his former pupils, the authorsed. M. 8vo. 91x6, pp. 402, IS. 6d net . MILFORD, June 15",260,268,"“Studio."" See also Holme (C.).",,"Studies in Southern history and politics. Inscribed to William Archibald Dunning by his former pupils, the authorsed.",M. 8vo.,"91x6, pp. 402, IS. 6d net .",MILFORD,June 15,1915,False
"""Times "" Food number (The). Repr. from the issue of June 8th, 1914. 4to., pp. 240, 6s. net OFFICE, Mar. 15",269,277,,,"""Times "" Food number (The). Repr. from the issue of June 8th, 1914.",4to.,"pp. 240, 6s. net",OFFICE,Mar. 15,1915,False
"“Times "" History of the War. Illus. Vols. 2-5 · Folio, 12 x8, ea. Ios. 6d. net; } Ithr. 125. 6d. net; pigskin 155. net ..“ THE TIMES,” Dec. 15",269,277,,,"""Times "" History of the War. Illus. Vols. 2-5","Folio,","12 x8, ea. Ios. 6d. net; } Ithr. 125. 6d. net; pigskin 155. net ..",""" THE TIMES,”",Dec. 15,1915,False
"8} <5), pp. 82, 3s. 60. net SIMPKIN, Jan. 15",192,200,"8} <5), pp. 82, 3s. 60. net",,,,,SIMPKIN,Jan. 15,1915,False
"A B C of income tax return making. By a Lay- man. 8vo., pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff) AUTHOR, June 15",1,9,,,A B C of income tax return making. By a Lay- man.,8vo.,"pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff)",AUTHOR,June 15,1915,False
"A B C, or Alphabetical railway guide. Monthly. 8vo. ea. swd. 6d. OFFICE, Jan.-Dec. 15",1,9,,,"A B C, or Alphabetical railway guide.",8vo.,Monthly. ea. swd. 6d.,OFFICE,Jan.-Dec. 15,1915,False
"A to Z. 4to. 35. 6d. (Dean's Rag bks.) DEAN'S RAG BK. Co., July 15",1,9,,,A to Z.,4to.,35. 6d. (Dean's Rag bks.),DEAN'S RAG BK. Co.,July 15,1915,False
"a With intro. and maps by William Edwards. Cr. 8vo. 64 x 48, pp. 206, swd. Is. 6d. net ........ . RIVINGTON, July 15",168,176,a ,,With intro. and maps by William Edwards.,Cr. 8vo.,"64 x 48, pp. 206, swd. Is. 6d. net ........ .",RIVINGTON,July 15,1915,False
"Abady (Jacques)-Clauses and precedents in electricity, gas and water legislation. 8vo., pp. 383, 155. net ..........W. KING, Mar. 15",1,9,,Abady (Jacques),"Clauses and precedents in electricity, gas and water legislation.",8vo.,"pp. 383, 155. net ..........",W. KING,Mar. 15,1915,False
